127.0.0.1 - - [19/May/2023:10:00:36 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [19/May/2023:10:00:49 +0530] "GET /jsp_demo/Sample.jsp HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [19/May/2023:10:00:51 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [19/May/2023:10:01:52 +0530] "GET /jsp_demo/Sample.jsp HTTP/1.1" 200 353
0:0:0:0:0:0:0:1 - - [19/May/2023:10:04:42 +0530] "GET /jsp_demo/Sample.jsp HTTP/1.1" 200 401
0:0:0:0:0:0:0:1 - - [19/May/2023:10:13:44 +0530] "GET /jsp_demo/Sample.jsp HTTP/1.1" 200 401
0:0:0:0:0:0:0:1 - - [19/May/2023:10:15:06 +0530] "GET /jsp_demo/Sample.jsp HTTP/1.1" 200 361
0:0:0:0:0:0:0:1 - - [19/May/2023:10:17:08 +0530] "GET /jsp_demo/Sample.jsp HTTP/1.1" 200 363
0:0:0:0:0:0:0:1 - - [19/May/2023:10:48:44 +0530] "GET /jsp_demo/Sample.jsp HTTP/1.1" 200 377
0:0:0:0:0:0:0:1 - - [19/May/2023:10:49:18 +0530] "GET /jsp_demo/Sample.jsp HTTP/1.1" 200 380
0:0:0:0:0:0:0:1 - - [19/May/2023:10:51:08 +0530] "GET /jsp_demo/Sample.jsp HTTP/1.1" 200 383
0:0:0:0:0:0:0:1 - - [19/May/2023:10:52:12 +0530] "GET /jsp_demo/Sample.jsp HTTP/1.1" 200 394
0:0:0:0:0:0:0:1 - - [19/May/2023:10:55:16 +0530] "GET /jsp_demo/Sample.jsp HTTP/1.1" 200 425
